id_1	title_1	id_2	title_2	judgement
temp_981	נאַטאַן אַלטמאַן	yt/lex/A/altman-natan.htm	Natan Altman	True
temp_1141	הערי אַניסמאַן	yt/lex/A/anisman-harry.htm	Harry Anisman	True
temp_1181	ריוואַ אַנציפּאָוויטש	yt/lex/A/antsipovitsh-riva.htm	Riva Antsipovitsh	True
temp_2881	סעם בּלומשטיין	yt/lex/B/blumstein-sam.htm	Sam Blumstein	True
temp_4291	גאָלדיצע	yt/lex/G/golditsa.htm	Golditsa	True
temp_4451	איזי גאָלדשטיין	yt/lex/G/goldstein-izzy.htm	Izzy Goldstein	True
temp_4481	גוסטאַוו גאָלדשטיין	yt/lex/G/goldstein-gustav.htm	Gustav Goldstein	True
temp_4501	דזשעני גאָלדשטיין	yt/lex/G/goldstein-jan-d.htm	Jan D. Goldstein	True
temp_4571	שמואליקל גאָלדשטיין	yt/lex/G/goldstein-shmulik.htm	Shmulik Goldstein	True
temp_4691	יצחק גאניקמאַן	yt/lex/G/ganikman-itzhak.htm	Itzhak Ganikman	True
temp_5361	עליאַס גליקמאַן	yt/lex/G/glickman-elias.htm	Elias Glickman	True
temp_6371	יצחק דאניעל	yt/lex/D/daniel-itzhak.htm	Itzhak Daniel	True
temp_6511	יידל דובּינסקי	yt/lex/D/dubinsky-yudel.htm	Yudel Dubinsky	True
temp_6551	מאַניאַ דוליצקאיא	moyt/lex/D/dulitskaya-manya-V5.htm	Manya Dulitskaya	True
temp_6571	לעאָן דושמאַן	yt/lex/D/dushman-leon.htm	Leon Dushman	True
temp_6711	בעל דידזשא	yt/lex/D/didja-belle.htm	Belle Didja	True
temp_6751	ליזע דייכעס	moyt/lex/D/deyches-liza-V5.htm	Liza Deyches	True
temp_6811	ס. דינגאָל	yt/lex/D/dingol-s.htm	S. Dingol	True
temp_6851	סאול דיקשטיין	yt/lex/D/dickstein-sol.htm	Sol Dickstein	True
temp_6991	עמאַ דרייזינאַ	yt/lex/D/dreyzina-ema.htm	Ema Dreyzina	True
temp_7291	מאיר האָניגמאַן	yt/lex/H/honigman-meyer.htm	Meyer Honigman	True
temp_7431	זיגמונט האַרט	moyt/lex/B/bolk-zigmunt-V5.htm	Zigmunt Bolk	True
temp_7511	גיזי היידען-פּריזאַמענט	yt/lex/H/heyden-pryzament-gizi.htm	Gizi Heyden-Pryzament	True
temp_7531	העלענאַ היימאַן	yt/lex/H/heyman-helena.htm	Helena Heyman	True
temp_7691	מאַקס העניג	yt/lex/H/henig-max.htm	Max Henig	True
temp_8081	שמעון וואלצינאק	yt/lex/V/valtsinak-shimon.htm	Shimon Valtsinak	True
temp_8131	פעני וואַקסמאַן	yt/lex/V/vaksman-fanny.htm	Fanny Vaksman	True
temp_8311	פישל וויטקאווער	moyt/lex/V/vitkover-fishl-V5.htm	Fishl Vitkover	True
temp_8551	אייזיק וויינשטאָק	yt/lex/V/vaynstok-ayzik.htm	Ayzik Vaynstok	True
temp_8621	שאול וויינשטיין	yt/lex/W/wallerstein-saul.htm	Saul Wallerstein	True
temp_8781	העלענאַ ווייסמאַן	yt/lex/V/vaysman-helena.htm	Helena Vaysman	True
temp_8831	משה ווייספעלד	yt/lex/V/vaysfeld-moshe.htm	Moshe Vaysfeld	True
